Student_ID,Hours_Studied,Attendance,Previous_GPA,Sleep_Hours,Coding_Experience,Course_Type,Projects_Completed,Exam_Score,Expected_Score,Performance_Gap,Pass_Status,Performance_Level,Sleep_Group,Attendance_Group,Project_Group
408,10.2,57.0,3.17,5.1,Beginner,Cloud,11,79.6,83.1,-3.5,Pass,Satisfactory,Below 6,Below 70%,8-11
409,2.2,65.0,2.54,7.4,Intermediate,Data Science,7,54.0,55.8,-1.8,Fail,Needs Support,7 to <8,Below 70%,4-7
410,12.0,73.7,2.66,7.9,Advanced,AI/ML,6,100.0,94.9,5.1,Pass,High Performer,7 to <8,70-79%,4-7
411,8.3,76.4,3.74,5.9,Intermediate,AI/ML,7,69.3,84.7,-15.4,Pass,Satisfactory,Below 6,70-79%,4-7
412,8.2,77.9,2.73,5.5,Intermediate,Web Dev,6,96.2,79.5,16.7,Pass,High Performer,Below 6,70-79%,4-7
413,2.0,82.4,3.23,4.4,Beginner,Web Dev,5,71.3,50.5,20.8,Pass,Satisfactory,Below 6,80-89%,4-7
414,10.9,78.9,2.06,6.5,Intermediate,Web Dev,7,66.4,89.4,-23.0,Pass,Satisfactory,6 to <7,70-79%,4-7
415,1.3,92.5,3.93,6.2,Advanced,Cloud,5,64.1,65.0,-0.9,Pass,Satisfactory,6 to <7,90%+,4-7
416,3.6,75.2,3.3,5.1,Beginner,Web Dev,4,52.5,58.6,-6.1,Fail,Needs Support,Below 6,70-79%,4-7
417,2.6,73.4,2.91,7.3,Beginner,Cloud,6,54.5,56.8,-2.3,Fail,Needs Support,7 to <8,70-79%,4-7
418,9.5,86.8,3.29,6.3,Intermediate,Web Dev,3,85.5,89.1,-3.6,Pass,High Performer,6 to <7,80-89%,0-3
419,3.2,66.6,2.3,5.6,Intermediate,AI/ML,6,61.3,54.4,6.9,Pass,Satisfactory,Below 6,Below 70%,4-7
420,11.0,85.9,3.59,6.2,Intermediate,AI/ML,5,94.3,95.3,-1.0,Pass,High Performer,6 to <7,80-89%,4-7
421,8.2,83.0,2.84,8.0,Beginner,AI/ML,6,69.7,77.4,-7.7,Pass,Satisfactory,8+,80-89%,4-7
422,1.4,80.5,2.9,7.5,Beginner,Cloud,4,50.5,52.0,-1.5,Fail,Needs Support,7 to <8,80-89%,4-7
423,1.1,97.9,2.75,6.7,Intermediate,Cloud,4,61.0,56.6,4.4,Pass,Satisfactory,6 to <7,90%+,4-7
424,1.6,75.8,2.71,7.5,Intermediate,Cloud,6,45.1,55.2,-10.1,Fail,Needs Support,7 to <8,70-79%,4-7
425,7.7,100.0,3.35,5.5,Intermediate,Web Dev,8,72.3,86.3,-14.0,Pass,Satisfactory,Below 6,90%+,8-11
426,9.8,79.7,3.13,6.8,Intermediate,Data Science,2,100.0,87.4,12.6,Pass,High Performer,6 to <7,70-79%,0-3
427,3.6,69.2,3.33,7.0,Intermediate,Web Dev,7,61.2,66.7,-5.5,Pass,Satisfactory,7 to <8,Below 70%,4-7
428,10.3,82.7,3.0,6.3,Intermediate,Cloud,5,89.0,90.1,-1.1,Pass,High Performer,6 to <7,80-89%,4-7
429,1.6,71.2,3.26,7.3,Intermediate,AI/ML,6,53.0,56.4,-3.4,Fail,Needs Support,7 to <8,70-79%,4-7
430,9.8,74.5,2.79,5.9,Intermediate,AI/ML,4,87.8,83.1,4.7,Pass,High Performer,Below 6,70-79%,4-7
431,11.2,86.0,4.0,7.4,Intermediate,Web Dev,4,100.0,100.0,0.0,Pass,High Performer,7 to <8,80-89%,4-7
432,9.5,87.6,2.22,7.4,Beginner,Web Dev,5,87.3,82.4,4.9,Pass,High Performer,7 to <8,80-89%,4-7
433,8.7,75.8,3.63,4.0,Beginner,Web Dev,6,62.0,74.9,-12.9,Pass,Satisfactory,Below 6,70-79%,4-7
434,10.2,91.9,3.68,8.1,Intermediate,Cloud,7,83.8,95.5,-11.7,Pass,High Performer,8+,90%+,4-7
435,1.4,93.6,2.57,4.0,Advanced,Cloud,7,46.8,50.2,-3.4,Fail,Needs Support,Below 6,90%+,4-7
436,3.2,96.4,4.0,6.1,Intermediate,Cloud,5,68.3,70.6,-2.3,Pass,Satisfactory,6 to <7,90%+,4-7
437,2.4,87.3,3.5,7.9,Beginner,Web Dev,10,49.8,64.5,-14.7,Fail,Needs Support,7 to <8,80-89%,8-11
438,6.5,95.6,3.49,6.5,Intermediate,Data Science,3,87.1,80.2,6.9,Pass,High Performer,6 to <7,90%+,0-3
439,9.2,63.2,3.01,5.2,Beginner,Web Dev,7,69.2,78.4,-9.2,Pass,Satisfactory,Below 6,Below 70%,4-7
440,7.9,78.8,2.89,5.6,Intermediate,Data Science,3,89.9,77.2,12.7,Pass,High Performer,Below 6,70-79%,0-3
441,10.4,73.3,2.9,7.9,Intermediate,AI/ML,10,100.0,90.1,9.9,Pass,High Performer,7 to <8,70-79%,8-11
442,2.7,83.2,3.2,4.7,Intermediate,AI/ML,5,53.8,55.9,-2.1,Fail,Needs Support,Below 6,80-89%,4-7
443,9.1,76.3,3.7,8.0,Intermediate,Data Science,7,92.9,89.2,3.7,Pass,High Performer,8+,70-79%,4-7
444,3.1,80.3,3.09,6.7,Beginner,Web Dev,6,51.4,61.9,-10.5,Fail,Needs Support,6 to <7,80-89%,4-7
445,4.0,100.0,2.54,5.5,Beginner,AI/ML,5,66.4,61.1,5.3,Pass,Satisfactory,Below 6,90%+,4-7
446,8.8,80.3,3.41,6.2,Advanced,Data Science,3,83.4,87.6,-4.2,Pass,High Performer,6 to <7,80-89%,0-3
447,11.8,86.1,3.46,5.7,Intermediate,Web Dev,7,90.6,99.8,-9.2,Pass,High Performer,Below 6,80-89%,4-7
448,7.7,79.7,3.33,7.8,Intermediate,Cloud,4,78.1,80.6,-2.5,Pass,Satisfactory,7 to <8,70-79%,4-7
449,1.6,82.8,3.37,7.6,Beginner,AI/ML,1,48.6,52.6,-4.0,Fail,Needs Support,7 to <8,80-89%,0-3
450,7.8,82.1,2.86,4.9,Beginner,Cloud,6,70.2,72.9,-2.7,Pass,Satisfactory,Below 6,80-89%,4-7
451,1.5,86.5,2.54,6.4,Beginner,Data Science,2,58.8,50.7,8.1,Fail,Needs Support,6 to <7,80-89%,0-3
452,10.7,93.7,2.57,5.9,Beginner,Data Science,5,81.5,88.2,-6.7,Pass,High Performer,Below 6,90%+,4-7
453,8.8,98.5,2.18,8.2,Beginner,Data Science,5,94.3,79.6,14.7,Pass,High Performer,8+,90%+,4-7
454,2.9,85.1,3.12,5.3,Advanced,Cloud,4,50.9,62.2,-11.3,Fail,Needs Support,Below 6,80-89%,4-7
455,2.0,87.9,2.96,8.6,Intermediate,Data Science,8,73.2,59.4,13.8,Pass,Satisfactory,8+,80-89%,8-11
456,3.0,70.5,2.78,6.8,Beginner,AI/ML,6,47.5,56.1,-8.6,Fail,Needs Support,6 to <7,70-79%,4-7
457,11.8,81.1,2.0,5.5,Beginner,Web Dev,2,84.4,84.4,0.0,Pass,High Performer,Below 6,80-89%,0-3
458,6.0,91.4,2.38,6.1,Beginner,Data Science,4,64.5,68.7,-4.2,Pass,Satisfactory,6 to <7,90%+,4-7
459,9.6,90.7,3.56,5.9,Intermediate,Web Dev,2,87.2,90.1,-2.9,Pass,High Performer,Below 6,90%+,0-3
460,8.0,84.1,2.67,5.4,Beginner,Web Dev,5,82.4,75.6,6.8,Pass,High Performer,Below 6,80-89%,4-7
461,7.3,90.9,3.18,6.9,Intermediate,Web Dev,5,95.5,82.8,12.7,Pass,High Performer,6 to <7,90%+,4-7
462,2.6,86.9,2.3,5.4,Intermediate,Data Science,3,65.0,54.9,10.1,Pass,Satisfactory,Below 6,80-89%,0-3
463,11.4,94.0,3.72,4.4,Beginner,Web Dev,10,90.8,94.2,-3.4,Pass,High Performer,Below 6,90%+,8-11
464,4.3,84.9,2.93,6.4,Intermediate,Data Science,2,67.7,66.1,1.6,Pass,Satisfactory,6 to <7,80-89%,0-3
465,7.4,78.4,3.15,4.8,Advanced,Cloud,3,68.6,75.3,-6.7,Pass,Satisfactory,Below 6,70-79%,0-3
466,8.7,85.4,4.0,6.0,Beginner,Cloud,10,81.0,89.4,-8.4,Pass,High Performer,6 to <7,80-89%,8-11
467,8.1,55.0,3.76,5.8,Beginner,AI/ML,7,66.9,76.7,-9.8,Pass,Satisfactory,Below 6,Below 70%,4-7
468,11.3,85.8,2.85,5.8,Advanced,Data Science,9,94.5,98.3,-3.8,Pass,High Performer,Below 6,80-89%,8-11
469,2.6,55.0,2.7,9.0,Advanced,Data Science,3,53.8,51.7,2.1,Fail,Needs Support,8+,Below 70%,0-3
470,6.6,64.8,2.84,6.9,Intermediate,AI/ML,8,57.1,73.3,-16.2,Fail,Needs Support,6 to <7,Below 70%,8-11
471,5.4,86.5,3.25,7.1,Intermediate,Data Science,4,73.5,73.9,-0.4,Pass,Satisfactory,7 to <8,80-89%,4-7
472,6.2,86.8,2.95,4.8,Beginner,Web Dev,5,81.0,68.1,12.9,Pass,High Performer,Below 6,80-89%,4-7
473,2.3,70.4,2.8,6.1,Intermediate,Cloud,5,65.5,56.0,9.5,Pass,Satisfactory,6 to <7,70-79%,4-7
474,2.5,74.9,3.73,7.0,Intermediate,Web Dev,4,58.8,63.7,-4.9,Fail,Needs Support,7 to <8,70-79%,4-7
475,4.1,95.7,2.94,5.7,Beginner,Cloud,7,53.8,65.7,-11.9,Fail,Needs Support,Below 6,90%+,4-7
476,4.4,77.2,4.0,7.8,Intermediate,Data Science,6,76.8,72.9,3.9,Pass,Satisfactory,7 to <8,70-79%,4-7
477,5.7,100.0,3.05,5.5,Advanced,Web Dev,3,56.7,76.4,-19.7,Fail,Needs Support,Below 6,90%+,0-3
478,7.7,82.0,3.89,6.5,Intermediate,Data Science,7,96.3,86.8,9.5,Pass,High Performer,6 to <7,80-89%,4-7
479,8.0,86.1,3.18,6.2,Beginner,Web Dev,7,80.3,82.1,-1.8,Pass,High Performer,6 to <7,80-89%,4-7
480,5.5,98.2,3.48,7.0,Beginner,Data Science,3,89.7,74.1,15.6,Pass,High Performer,7 to <8,90%+,0-3
481,5.5,83.3,2.64,6.1,Advanced,Data Science,3,56.8,71.5,-14.7,Fail,Needs Support,6 to <7,80-89%,0-3
482,3.4,72.0,2.57,6.5,Advanced,Web Dev,3,69.9,62.1,7.8,Pass,Satisfactory,6 to <7,70-79%,0-3
483,7.5,80.9,3.23,6.5,Intermediate,Web Dev,1,78.2,79.0,-0.8,Pass,Satisfactory,6 to <7,80-89%,0-3
484,4.5,81.6,3.49,6.0,Intermediate,Data Science,6,68.2,71.0,-2.8,Pass,Satisfactory,6 to <7,80-89%,4-7
485,1.4,68.4,3.02,7.3,Intermediate,AI/ML,7,42.8,54.5,-11.7,Fail,Needs Support,7 to <8,Below 70%,4-7
486,5.6,79.4,2.36,7.1,Beginner,Cloud,10,74.2,69.1,5.1,Pass,Satisfactory,7 to <8,70-79%,8-11
487,6.2,74.6,2.32,6.7,Beginner,Data Science,5,73.2,67.4,5.8,Pass,Satisfactory,6 to <7,70-79%,4-7
488,3.5,91.2,2.29,6.3,Beginner,Data Science,8,76.8,61.7,15.1,Pass,Satisfactory,6 to <7,90%+,8-11
489,7.3,82.3,2.12,7.7,Beginner,AI/ML,7,80.0,71.4,8.6,Pass,High Performer,7 to <8,80-89%,4-7
490,7.2,79.2,3.05,6.5,Advanced,Data Science,6,76.8,81.9,-5.1,Pass,Satisfactory,6 to <7,70-79%,4-7
491,8.7,80.9,3.56,6.5,Beginner,Cloud,7,76.7,85.2,-8.5,Pass,Satisfactory,6 to <7,80-89%,4-7
492,8.1,84.2,2.99,6.9,Beginner,Web Dev,14,74.8,86.4,-11.6,Pass,Satisfactory,6 to <7,80-89%,12-14
493,8.2,88.2,2.0,8.7,Intermediate,AI/ML,7,88.1,75.5,12.6,Pass,High Performer,8+,80-89%,4-7
494,4.5,72.0,2.9,5.3,Beginner,Web Dev,5,54.2,60.8,-6.6,Fail,Needs Support,Below 6,70-79%,4-7
495,9.7,71.6,2.92,7.6,Beginner,AI/ML,7,95.4,82.8,12.6,Pass,High Performer,7 to <8,70-79%,4-7
496,7.0,93.0,4.0,4.7,Intermediate,Data Science,8,86.1,81.7,4.4,Pass,High Performer,Below 6,90%+,8-11
497,5.7,77.9,2.27,7.0,Beginner,AI/ML,5,67.3,64.5,2.8,Pass,Satisfactory,7 to <8,70-79%,4-7
498,7.9,67.8,2.8,8.5,Intermediate,Data Science,6,73.7,76.3,-2.6,Pass,Satisfactory,8+,Below 70%,4-7
499,5.0,86.4,3.85,7.3,Advanced,AI/ML,4,82.0,76.4,5.6,Pass,High Performer,7 to <8,80-89%,4-7
500,6.6,86.6,3.22,7.0,Beginner,Web Dev,6,77.0,77.2,-0.2,Pass,Satisfactory,7 to <8,80-89%,4-7
